,content,like_count,reply_count,retweet_count,url,username
19,㊗️井上チャンピオン㊗️こんなボディあかん🥶 https://t.co/xzz63YxtQe,50237,403,2622,https://twitter.com/matsu_bouzu/status/1406584016405368839,matsu_bouzu
20,😃 https://t.co/VZOhq7KwOj,17128,269,721,https://twitter.com/matsu_bouzu/status/1406259364302753793,matsu_bouzu
21,あっ　そやったな。スマン。 https://t.co/diTvqFuIAY,27135,211,932,https://twitter.com/matsu_bouzu/status/1406116479158808583,matsu_bouzu
22,黙れ！部外者！ https://t.co/oIOM8DPymG,49386,466,2114,https://twitter.com/matsu_bouzu/status/1406113478381690881,matsu_bouzu
23,明日は【まっちゃんねる】女子メンタル。イケメンタル。きっと皆様のお口にあうと思いますよ😃,49584,521,2113,https://twitter.com/matsu_bouzu/status/1405766636028665865,matsu_bouzu
24,これぞ勉強不足のバカライター。コア視聴率はしっかりとってる。じゃないと第二弾あるわけない。 https://t.co/6a9mBZYWqi,62431,671,3998,https://twitter.com/matsu_bouzu/status/1404780035152637956,matsu_bouzu
25,松本人志も言及したテレビの新指標「コア視聴率」が浸透しない事情（NEWSポストセブン） - Yahoo!ニュース https://t.co/yaDce0AZAI,20619,155,1232,https://twitter.com/matsu_bouzu/status/1404772524030795777,matsu_bouzu
26,補足。コア視聴率が良かったんです。コア視聴率はスポンサー的にも局的にも世帯視聴率より今や重要な指標なんです。そのコア視聴率が3時間横並びでトップやんたんです。だから。低視聴率みたいなミスリードは番組を観てくれた皆さん。後輩達に申し訳ない気がします。,56121,597,3071,https://twitter.com/matsu_bouzu/status/1404381670485094411,matsu_bouzu
27,キングオブコントの会は内容的にも視聴率的にも大成功でした😃ネットニュースっていつまで“世帯”視聴率を記事にするんやろう？その指標あんま関係ないねんけど。。。,69853,789,3367,https://twitter.com/matsu_bouzu/status/1404294726170255365,matsu_bouzu
28,女装なんやし髭剃れよ。そうなんやけど。松ちゃん本気やん。も照れるやん。,80582,1134,2759,https://twitter.com/matsu_bouzu/status/1403727609309978624,matsu_bouzu
29,明日はキングオブコントの会。みんなおもしろかたよーおれもがんばたよー,64558,688,2568,https://twitter.com/matsu_bouzu/status/1403297308607860738,matsu_bouzu
30,行きてなー　オーストラリア！（３年前冬） https://t.co/PUmQPryxec,77371,773,2522,https://twitter.com/matsu_bouzu/status/1401493195935031305,matsu_bouzu
31,松本人志が20年ぶりに民放でテレビコントを披露！「やっぱりプロってすごいなって思いました」＜キングオブコントの会＞（ザテレビジョン） - Yahoo!ニュースえ！そうなん？ https://t.co/vqhACqSHOV,60904,581,4055,https://twitter.com/matsu_bouzu/status/1400274367632711682,matsu_bouzu
32,ヘッダー変更。ハワイ行きてー（四年前夏）,64083,913,2145,https://twitter.com/matsu_bouzu/status/1398243664741027844,matsu_bouzu
33,独りで長い屁をこき。その長さに独りで笑い。その屁を独りで嗅ぎ。その匂いに独りで耐える。この経験は今回で4度目だ。,68588,1062,2569,https://twitter.com/matsu_bouzu/status/1397122938772488195,matsu_bouzu
34,ゴゴスマ…🙇‍♂️,40169,354,1347,https://twitter.com/matsu_bouzu/status/1396774175059038211,matsu_bouzu
35,明日はIPPONグランプリ。とっても盛り上がりました。もし盛り上がってなくてもオレの立場ならそう言うしかないでしょう？そういうことじゃなく本当に盛り上がってましたからそう言うしか！そう言うしか！,76979,714,3242,https://twitter.com/matsu_bouzu/status/1395705580786896898,matsu_bouzu
36,本日午後9時。いよいよグレイ…あっクレイジージャーニー放送です！,68382,923,3645,https://twitter.com/matsu_bouzu/status/1394865581132681216,matsu_bouzu
